name, address, account type
BNB (BNB),0xB8c77482e45F1F44dE1745F52C74426C631bDD52,Contract
Bitfinex LEO Token (LEO),0x2AF5D2aD76741191D15Dfe7bF6aC92d4Bd912Ca3,Contract
WBT (WBT),0x925206b8a707096Ed26ae47C84747fE0bb734F59,Contract
OKB (OKB),0x75231F58b43240C9718Dd58B4967c5114342a86c,Contract
BitgetToken (BGB),0x54D2252757e1672EEaD234D27B1270728fF90581,Contract
KuCoin Token (KCS),0xf34960d9d60be18cC1D5Afc1A6F012A723a28811,Contract
Jupiter Staked SOL (IBC) (jupSOL),0x5cD8cd3c5e8780cCBc74277f22b099FEFd04F5ef,Contract
MX Token (MX),0x11eeF04c884E24d9B7B4760e7476D06ddF797f36,Contract
LoopringCoin V2 (LRC),0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,Contract
BitMartToken (BMC),0x986EE2B944c42D017F52Af21c4c69B84DBeA35d8,Contract
LCX (LCX),0x037A54AaB062628C9Bbae1FDB1583c195585fe41,Contract
HuobiToken (HT),0x6f259637dcD74C767781E37Bc6133cd6A68aa161,Contract
BTSE Token (BTSE),0x666d875C600AA06AC1cf15641361dEC3b00432Ef,Contract
ZEN Exchange Token (ZCX),0xC52C326331E9Ce41F04484d3B5E5648158028804,Contract
Bit2Me (B2M),0xd7c302fc3ac829C7E896a32c4Bd126f3e8Bd0a1f,Contract
TOKPIE (TKP),0xd31695a1d35E489252CE57b129FD4b1B05E6AcaC,Contract
Zedxion (Zedxion),0xbAFDabaDcf19d0cFbbe0AB9C69CF050D86ff888C,Contract
KickToken (KICK),0x824a50dF33AC1B41Afc52f4194E2e8356C17C3aC,Contract
BitMax token (BTMX),0xcca0c9c383076649604eE31b20248BC04FdF61cA,Contract
flexUSD (flexUSD),0xa774FFB4AF6B0A91331C084E1aebAE6Ad535e6F3,Contract
Open Exchange Token (OX),0x78a0A62Fba6Fb21A83FE8a3433d44C73a4017A6f,Contract
