name, address, account type
Uniswap (UNI),0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,Contract
Injective Token (INJ),0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30,Contract
Pendle (PENDLE),0x808507121B80c02388fAd14726482e061B8da827,Contract
PancakeSwap Token (Cake),0x152649eA73beAb28c5b49B26eb48f7EAD6d4c898,Contract
1INCH Token (1INCH),0x111111111117dC0aa78b770fA6A738034120C302,Contract
ZRX (ZRX),0xE41d2489571d322189246DaFA5ebDe1F4699F498,Contract
Balancer (BAL),0xba100000625a3754423978a60c9317c58a424e3D,Contract
Maverick Token (MAV),0x7448c7456a97769F6cD04F1E83A4a23cCdC46aBD,Contract
CoW Protocol Token (COW),0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB,Contract
Hashflow (HFT),0xb3999F658C0391d94A37f7FF328F3feC942BcADC,Contract
Chainflip (FLIP),0x826180541412D574cf1336d22c0C0a287822678A,Contract
OMG Network (OMG),0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,Contract
IDEX Token (IDEX),0xB705268213D593B8FD88d3FDEFF93AFF5CbDcfAE,Contract
QuickSwap (QUICK),0xd2bA23dE8a19316A638dc1e7a9ADdA1d74233368,Contract
PolkastarterToken (POLS),0x83e6f1E41cdd28eAcEB20Cb649155049Fac3D5Aa,Contract
ParaSwap (PSP),0xcAfE001067cDEF266AfB7Eb5A286dCFD277f3dE5,Contract
AirSwap (AST),0x27054b13b1B798B345b591a4d22e6562d47eA75a,Contract
DeversiFi Token (DVF),0xDDdddd4301A082e62E84e43F474f044423921918,Contract
MCDEX Token (MCB),0x4e352cF164E64ADCBad318C3a1e222E9EBa4Ce42,Contract
OpenANX (OAX),0x701C244b988a513c945973dEFA05de933b23Fe1D,Contract
Ethervista (VISTA),0xC9bCa88B04581699fAb5aa276CCafF7Df957cbbf,Contract
Nash Exchange Token (NEX),0xE2dc070524A6e305ddB64d8513DC444B6a1ec845,Contract
OraiDEX Token (ORAIX),0x2d869aE129e308F94Cc47E66eaefb448CEe0d03e,Contract
Stobox Token v.2 (STBU),0xa6422E3E219ee6d4C1B18895275FE43556fd50eD,Contract
Verse (VERSE),0x249cA82617eC3DfB2589c4c17ab7EC9765350a18,Contract
FXN Token (FXN),0x365AccFCa291e7D3914637ABf1F7635dB165Bb09,Contract
Mettalex (MTLX),0x2e1E15C44Ffe4Df6a0cb7371CD00d5028e571d14,Contract
SEED (SEED),0x5eed99d066a8CaF10f3E4327c1b3D8b673485eED,Contract
HotKeySwap (HOTKEY),0x018DD3A0Dd7F213cc822076b3800816d3CE1ED86,Contract
Ethane (C2H6),0x6aD9a31f02F1E790fF85584EA3c3D0001E45cd64,Contract
Wombat Token (WOM),0xc0B314a8c08637685Fc3daFC477b92028c540CFB,Contract
Solidly (SOLID),0x777172D858dC1599914a1C4c6c9fC48c99a60990,Contract
TokenSight Token (TKST),0x7CdBfC86A0BFa20F133748B0CF5cEa5b787b182c,Contract
Kromatika (KROM),0x3af33bEF05C2dCb3C7288b77fe1C8d2AeBA4d789,Contract
TitanSwap (Titan),0x3A8cCCB969a61532d1E6005e2CE12C200caeCe87,Contract
FidexToken (FEX),0x1C1C14A6B5074905Ce5d367B0A7E098b58EbFD47,Contract
shroom.finance (SHROOM),0xEd0439EACf4c4965AE4613D77a5C2Efe10e5f183,Contract
Behodler.io (EYE),0x155ff1A85F440EE0A382eA949f24CE4E0b751c65,Contract
NUX Peanut.trade (NUX),0x89bD2E7e388fAB44AE88BEf4e1AD12b4F1E0911c,Contract
Autonio (NIOX),0xc813EA5e3b48BEbeedb796ab42A30C5599b01740,Contract
Swapr (SWPR),0x6cAcDB97e3fC8136805a9E7c342d866ab77D0957,Contract
ApeSwapFinance Banana (BANANA),0x92DF60c51C710a1b1C20E42D85e221f3A1bFc7f2,Contract
ZigZag (ZZ),0xC91a71A1fFA3d8B22ba615BA1B9c01b2BBBf55ad,Contract
EDDA (EDDA),0xFbbE9b1142C699512545f47937Ee6fae0e4B0aA9,Contract
CoFi Token (CoFi),0x1a23a6BfBAdB59fa563008c0fB7cf96dfCF34Ea1,Contract
TXA (TXA),0x4463e6A3dEd0dBE3F6e15bC8420dFc55e5FeA830,Contract
Kwikswap (KWIK),0x286C0936c7Eaf6651099Ab5DAb9ee5A6cB5d229D,Contract
Fire Protocol (FIRE),0xF921ae2DAC5fa128DC0F6168Bf153ea0943d2D43,Contract
Component ,0x9f20Ed5f919DC1C1695042542C13aDCFc100dcab,Contract
Aboard ,0xb0eD164F6E3C6a4153EeB43bf9674955A259eC45,Contract
oneWING ,0x8F041A3940a5e6FB580075C3774E15FcFA0E1618,Contract
Bitnium ,0x468156a1187Cf4Cd8f009a59772F96A5287D1cc0,Contract
Meterqubes ,0x082280b4AE1A9E552555c256124De96FAb63159B,Contract
Mobius Token (MOT),0x1E02cdbbA6729B6470de81Ad4D2cCA4c514521b9,Contract
HexaFinity ,0xb2286f5c9f9532253193e301f9645a5a88Db0054,Contract
Elite Swap (ELT),0x380291A9A8593B39f123cF39cc1cc47463330b1F,Contract
MiqiToken ,0xC26d79F8dCB5bBBc52e4cf17C6fb800A9AaD39A7,Contract
Multichain (MULTI),0x65Ef703f5594D2573eb71Aaf55BC0CB548492df4,Contract
OneSwap ,0x0B342C51d1592C41068d5D4b4DA4A68C0a04d5A4,Contract
Curve.fi DAI/USDC/USDT (3Crv),0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490,Contract
Definitex ,0xf1f5De69C9C8D9BE8a7B01773Cc1166D4Ec6Ede2,Contract
ZapankiSwap ,0xd2e730d5a15eA4bE6c1cb520e8B81e9fCF79AE62,Contract
SOAR.FI (SOAR),0xBae5F2D8a1299E5c4963eaff3312399253f27Ccb,Contract
Curve.fi yDAI/yUSDC/yUSDT/yBUSD ,0x3B3Ac5386837Dc563660FB6a0937DFAa5924333B,Contract
MICROMINES (MICRO),0xBe6C8f2810EF39420d2DC2901b8414C8c45FEE6D,Contract
ChartEx ,0x1d37986F252d0e349522EA6C3B98Cb935495E63E,Contract
Agora DEX Token (AGA),0x87B46212e805A3998B7e8077E9019c90759Ea88C,Contract
oneVBTC ,0x7BD198b9107496fD5cC3d7655AF52f43a8eDBc4C,Contract
Bittilo ,0x8D10e4b59DB263ef4E7B88fCAaCFc9eCb821A962,Contract
Quokka ,0xDf34f62a90717bAc9067A1b9eb49f5e7419FdC7f,Contract
TIME ,0x6531f133e6DeeBe7F2dcE5A0441aA7ef330B4e53,Contract
1INCH Token (Vested) ,0x03d1B1A56708FA298198DD5e23651a29B76a16d2,Contract
Curio Gas Token (CGT2.0),0x0E186357c323c806C1efdad36D217F7a54b63D18,Contract
Unico Defi ,0xcfde94e82f2224Ce9fEb65108e9327c9493BEa17,Contract
TramsToken ,0x7afA2BbC06Dad88487b5171EA2bcDF938A6b7Ff9,Contract
WardenSwap (WAD),0x0B6F3c17e1626a7cBfA4302CE4E3c45522d23A83,Contract
Bitcratic Revenue ,0x579353231F3540B218239774422962C64a3693e7,Contract
MARSWAP (MSWAP),0x4bE2b2C45b432BA362f198c08094017b61E3BDc6,Contract
3XT TOKEN (3XT),0x96Cf107E446A6e528FfD045F4eb6dFf3CDB6A666,Contract
BITPIF (BPF),0x5197FBE1a86679FF1360E27862BF88B0c5119BD8,Contract
Onto Swap ,0x5967BE3D7B38CEa1f3E5f8d7dEB7860cCfa21CB2,Contract
LuckyToadv3 (TOAD),0xBfB2b6870501a6Ff17121D676A0A45a38c9eeD1e,Contract
Wasabi ,0x896e145568624a498c5a909187363AE947631503,Contract
AltCTRL (CTRL),0xf74751c07c92b668f02527d0E1384eE6D68aC90E,Contract
HolderSwap ,0x578301f78B7269261CEa3c968f0643fB1A101E5E,Contract
Curve.fi DAI/USDC/USDT/sUSD (crvPlain3...),0xC25a3A3b969415c80451098fa907EC722572917F,Contract
IDEX Membership ,0xCc13Fc627EFfd6E35D2D2706Ea3C4D7396c610ea,Contract
Noodle ,0x147aB744f058A52e828BEE84A9C58660F2fF5Ff9,Contract
Specie Token ,0x39f77C98c6a3835A756fCa3b54A1d5B20D1Fbf26,Contract
MCF token (MCF),0xE33AE4E795114279721047484E5ad5cc7DF24fcB,Contract
Materia ,0x020810D775fC019480CD56ECb960389d3477039D,Contract
stableDEX ,0xdF44A80c17813789f60090638827aEb23698B122,Contract
SURGE ,0xcD682EF09d07668d49A8103ddD65Ff54AebFbfDe,Contract
Herdius ,0x9Ae559ac062de221eb5198d90C27e45e85FCAAB2,Contract
PiSwap Token (PIS),0xCE1298eF635326d9F197963E49E1E67422761897,Contract
Degen ,0xDCaCa05de9adE34F3fCb9CE94d1B7930093E526E,Contract
ICETEA.Finance ,0x8c5E6FdFa54B0027E10d9438E8515b6FA6c38FcC,Contract
ZEROGAS ,0xb0D8E79F484EC6DF92bfc032735D7F9B19e361eF,Contract
FX99 ,0xCEDDf3a74F9E5012E651428963b9083Ba5E559c4,Contract
BitTank Token ,0xa3b93c2c4579654de50dd2eA227A5d6B98eD44C5,Contract
BitTank Token ,0xa3b93c2c4579654de50dd2eA227A5d6B98eD44C5,Contract
Quokka ,0xDf34f62a90717bAc9067A1b9eb49f5e7419FdC7f,Contract
Aboard ,0xb0eD164F6E3C6a4153EeB43bf9674955A259eC45,Contract
Curve.fi DAI/USDC/USDT/PAX ,0xD905e2eaeBe188fc92179b6350807D8bd91Db0D8,Contract
Multichain (MULTI),0x65Ef703f5594D2573eb71Aaf55BC0CB548492df4,Contract
PiSwap Token (PIS),0xCE1298eF635326d9F197963E49E1E67422761897,Contract
HexaFinity ,0xb2286f5c9f9532253193e301f9645a5a88Db0054,Contract
Dinngo ,0x6d38574be6C230272DAAd16Fa5F291F825Bd0Da1,Contract
CEDEX ,0xf4065e4477e91C177DED71A7A6fb5ee07DC46BC9,Contract
KungfuSwap ,0xB96AfAD41789B4225D1283F9bC25F9E2C9fe40Ee,Contract
SURGE ,0xcD682EF09d07668d49A8103ddD65Ff54AebFbfDe,Contract
oneLINK ,0x18Cc17a1EeD37C02A77B0B96b7890C7730E2a2CF,Contract
KimchiSwap (KSWAP),0x7705c572d9cc824fBA4e4EFb40F00916534396d9,Contract
Yolex.io (YEX),0xCAC7a8aeC77372449412cA7C1FC945B615EAa957,Contract
Noodle ,0x147aB744f058A52e828BEE84A9C58660F2fF5Ff9,Contract
KingToken ($KING),0xd2057d71fE3F5b0dc1E3e7722940E1908Fc72078,Contract
1INCH Token (Vested) ,0x03d1B1A56708FA298198DD5e23651a29B76a16d2,Contract
ALLCOINSWAP ,0x52a56685EeFc648F01F97ecE0184DA416410B0DA,Contract
Anyswap (ANY),0xf99d58e463A2E07e5692127302C20A191861b4D6,Contract
Agora DEX Token (AGA),0x87B46212e805A3998B7e8077E9019c90759Ea88C,Contract
Curve.fi renBTC/wBTC (crvRenWBTC),0x49849C98ae39Fff122806C06791Fa73784FB3675,Contract
Hydro Protocol (HOT),0x9AF839687F6C94542ac5ece2e317dAAE355493A1,Contract
WardenSwap (WAD),0x0B6F3c17e1626a7cBfA4302CE4E3c45522d23A83,Contract
SwapDEX (SDX),0x041fdd6637eCfD96af8804278AC12660ac2D12c0,Contract
Curio Gas Token (CGT2.0),0x0E186357c323c806C1efdad36D217F7a54b63D18,Contract
AfroDex Labs Token ,0xD8a8843b0a5aba6B030E92B3F4d669FaD8A5BE50,Contract
Alttex ,0xb1ED41dc1Fe9b723a31137aFdd1201D17917FE91,Contract
Wasabi ,0x896e145568624a498c5a909187363AE947631503,Contract
ToraSwap ,0xe17807e05289b7555d24A07A201aDAb19Bda63f8,Contract
Grumpy Cocky ,0x6b914246c146cCf693a97b96996Ceb54d49FEB62,Contract
oneWING ,0x8F041A3940a5e6FB580075C3774E15FcFA0E1618,Contract
MasterDEX Token ,0xf0610eb7d8EE12D59412DA32625d5e273E78FF0b,Contract
Specie Token ,0x39f77C98c6a3835A756fCa3b54A1d5B20D1Fbf26,Contract
Metric.exchange (METRIC),0xEfc1C73A3D8728Dc4Cf2A18ac5705FE93E5914AC,Contract
Fish Token ,0x60757088C7140E9e7Bc943632ee43A831f1112ac,Contract
Curve.fi cDAI/cUSDC ,0x845838DF265Dcd2c412A1Dc9e959c7d08537f8a2,Contract
BAR ,0xdFd2394392D20e65ef7fd397AAdc4Bc58BCa48dA,Contract
YearnSwap ,0xA1aC1450ee86c35d1F959f2792cB8cef726Bb60d,Contract
AfroDex (AfroX),0x08130635368AA28b217a4dfb68E1bF8dC525621C,Contract
ZEROGAS ,0xb0D8E79F484EC6DF92bfc032735D7F9B19e361eF,Contract
BitEye Token ,0x66e5dbC7fEcE1d31Eb60Af8Cfa0563eC0D1a81BD,Contract
DexKit (KIT),0x7866E48C74CbFB8183cd1a929cd9b95a7a5CB4F4,Contract
MCF token (MCF),0xE33AE4E795114279721047484E5ad5cc7DF24fcB,Contract
Curve.fi cDAI/cUSDC/USDT ,0x9fC689CCaDa600B6DF723D9E47D84d76664a1F23,Contract
EDT2 ,0xFf0677aA319585FEcD5b06A0bae4D918422CE0e5,Contract
Degen ,0xDCaCa05de9adE34F3fCb9CE94d1B7930093E526E,Contract
PotterSwap Token ,0x9DcD36e6F3dD1186d902De9241E10C2c2171a2ef,Contract
AltCTRL (CTRL),0xf74751c07c92b668f02527d0E1384eE6D68aC90E,Contract
Boxswap ,0x6F4d597f17e723F2474002d34AE7284291520F3A,Contract
DEC777Token ,0x4b21Fe3dCBFBa42a1E52DC2F2ad332E177F7E1B1,Contract
oneVBTC ,0x7BD198b9107496fD5cC3d7655AF52f43a8eDBc4C,Contract
Ordiswap (ORDS),0x8AB2ff0116A279a99950C66A12298962D152B83c,Contract
